ARK;"Object name/Title";Author;Date;"Inventory number";Collection;"Geographic references / Places";Location;MNR
cl010000217;orbiculus;;"395 / 641  (époque byzantine)";"E 26330; AC 364; PH 923; G 127";"Département des Antiquités égyptiennes";;"non exposé";
cl010000218;orbiculus;;"395 / 641  (époque byzantine)";"E 26331; AC 365; PH 924; G 128";"Département des Antiquités égyptiennes";;"non exposé";
cl010000219;"décor de textile";;"395 / 641  (époque byzantine)";"E 26332; AC 366; PH 926; G 129";"Département des Antiquités égyptiennes";;"non exposé";
cl010000220;orbiculus;;"395 / 641  (époque byzantine)";"E 26333; AC 367; PH 2413; G 312";"Département des Antiquités égyptiennes";;"non exposé";
cl010000221;"bande de poignet";;"395 / 641  (époque byzantine)";"E 26334; AC 368; PH 938; G 130";"Département des Antiquités égyptiennes";;"non exposé";
cl010000222;"manche d'habit ; bande de poignet";;"395 / 641  (époque byzantine)";"E 26336; AC 370; PH 1117; G 177";"Département des Antiquités égyptiennes";;"non exposé";
cl010000223;clavus;;"395 / 641  (époque byzantine)";"E 26338; AC 372; PH 1122; G 175";"Département des Antiquités égyptiennes";;"non exposé";
cl010000224;clavus;;"395 / 641  (époque byzantine)";"E 26339; AC 373; PH 1123; G 176";"Département des Antiquités égyptiennes";;"non exposé";
cl010000225;"bande de poignet";;"395 / 641  (époque byzantine)";"E 26340; AC 374; PH 1125; G 179";"Département des Antiquités égyptiennes";;"non exposé";
cl010000226;"étui à kohol";;"395 / 641 (?)  (époque byzantine [?])";"E 24013";"Département des Antiquités égyptiennes";;"non exposé";
cl010000228;"épingle à cheveux";;"-30 / 641 (?)  (époque byzantine [?] ; époque romaine [?])";"E 14266";"Département des Antiquités égyptiennes";;"non exposé";
cl010000229;cuiller;;"-30 / 284  (Haut Empire)";"E 15055";"Département des Antiquités égyptiennes";;"non exposé";
cl010000230;orbiculus;;"395 / 641  (époque byzantine)";"E 26262; AC 296; PH 683; G 83";"Département des Antiquités égyptiennes";;"non exposé";
cl010000231;tabula;;"395 / 641  (époque byzantine)";"E 26263; AC 297; PH 684; G 84";"Département des Antiquités égyptiennes";;"non exposé";
cl010000232;tabula;;"395 / 641  (époque byzantine)";"E 26264; AC 298; PH 685; G 85";"Département des Antiquités égyptiennes";;"non exposé";
cl010000233;tabula;;"395 / 641  (époque byzantine)";"E 26265; AC 299; PH 689; G 86";"Département des Antiquités égyptiennes";;"non exposé";
cl010000234;orbiculus;;"395 / 641  (époque byzantine)";"E 26266; AC 300; PH 690; G 88";"Département des Antiquités égyptiennes";;"non exposé";
cl010000235;orbiculus;;"395 / 641  (époque byzantine)";"E 26267; AC 301; PH 691; G 89";"Département des Antiquités égyptiennes";;"non exposé";
cl010000236;"bande de poignet";;"395 / 641  (époque byzantine)";"E 26268; AC 302; PH 692; F 46";"Département des Antiquités égyptiennes";;"non exposé";
cl010000237;orbiculus;;"395 / 641  (époque byzantine)";"E 26269; AC 303; PH 694; G 91";"Département des Antiquités égyptiennes";;"non exposé";
cl010000238;"bande de poignet";;"395 / 641  (époque byzantine)";"E 26270; AC 304; PH 696; G 92";"Département des Antiquités égyptiennes";;"non exposé";
cl010000239;orbiculus;;"395 / 641  (époque byzantine)";"E 26271; AC 305; PH 698; G 93";"Département des Antiquités égyptiennes";;"non exposé";
cl010000240;tabula;;"395 / 641  (époque byzantine)";"E 26272";"Département des Antiquités égyptiennes";;"non exposé";
cl010000241;"décor de textile";;"395 / 641  (époque byzantine)";"E 26274; AC 308; PH 703; G 96";"Département des Antiquités égyptiennes";;"non exposé";
cl010000242;orbiculus;;"395 / 641  (époque byzantine)";"E 26275; AC 309; PH 718; G 299";"Département des Antiquités égyptiennes";;"non exposé";
cl010000243;"décor de textile";;"395 / 641  (époque byzantine)";"E 26276; AC 310; PH 720; H 4";"Département des Antiquités égyptiennes";;"non exposé";
cl010000244;"décor de textile";;"395 / 641  (époque byzantine)";"E 26277; AC 311; PH 721; H 5";"Département des Antiquités égyptiennes";;"non exposé";
cl010000245;clavus;;"395 / 641  (époque byzantine)";"E 26278; AC 312; PH 726; G 118";"Département des Antiquités égyptiennes";;"non exposé";
cl010000246;"manche d'habit ; bande de poignet";;"395 / 641  (époque byzantine)";"E 26279; AC 313; PH 727; G 119";"Département des Antiquités égyptiennes";;"non exposé";
cl010000247;orbiculus;;"395 / 641  (époque byzantine)";"E 26280; AC 314; PH 734; G 223";"Département des Antiquités égyptiennes";;"non exposé";
cl010000248;"bande décorative d'habillement";;"395 / 641  (époque byzantine)";"E 26281; AC 315; PH 740; H 7";"Département des Antiquités égyptiennes";;"non exposé";
cl010000249;"bande de poignet";;"395 / 641  (époque byzantine)";"E 26282; AC 316; PH 741; G 145";"Département des Antiquités égyptiennes";;"non exposé";
cl010000250;"bande de poignet";;"395 / 641  (époque byzantine)";"E 26283; AC 317; PH 742; H 8";"Département des Antiquités égyptiennes";;"non exposé";
cl010000251;"bande de poignet";;"395 / 641  (époque byzantine)";"E 26284; AC 318; PH 746; G 120";"Département des Antiquités égyptiennes";;"non exposé";
cl010000252;"décor de textile";;"395 / 641  (époque byzantine)";"E 26286; AC 320; PH 750; G 138";"Département des Antiquités égyptiennes";;"non exposé";
cl010000253;"décor de textile";;"395 / 641  (époque byzantine)";"E 26287; AC 321; PH 759; G 139";"Département des Antiquités égyptiennes";;"non exposé";
cl010000254;orbiculus;;"395 / 641  (époque byzantine)";"E 26288; AC 322; PH 764; G 103";"Département des Antiquités égyptiennes";;"non exposé";
cl010000255;orbiculus;;"395 / 641  (époque byzantine)";"E 26289; AC 323; PH 765; G 104";"Département des Antiquités égyptiennes";;"non exposé";
cl010000256;clavus;;"395 / 641  (époque byzantine)";"E 26290; AC 324; PH 767; G 107";"Département des Antiquités égyptiennes";;"non exposé";
cl010000257;"bande de poignet";;"395 / 641  (époque byzantine)";"E 26291; AC 325; PH 770; G 108";"Département des Antiquités égyptiennes";;"non exposé";
cl010000258;tabula;;"395 / 641  (époque byzantine)";"E 26292; AC 326; PH 772; G 109";"Département des Antiquités égyptiennes";;"non exposé";
cl010000259;"clavus ; orbiculus";;"395 / 641  (époque byzantine)";"E 26293; AC 327; PH 773; F 51";"Département des Antiquités égyptiennes";;"non exposé";
cl010000260;clavus;;"395 / 641  (époque byzantine)";"E 26294; AC 328; PH 775; F 48";"Département des Antiquités égyptiennes";;"non exposé";
cl010000261;clavus;;"395 / 641  (époque byzantine)";"E 26295; AC 329; PH 779; F 213";"Département des Antiquités égyptiennes";;"non exposé";
cl010000262;"plastron de tunique";;"395 / 641  (époque byzantine)";"E 26302; AC 336; PH 851; G 203";"Département des Antiquités égyptiennes";;"non exposé";
cl010000263;"bande de poignet";;"395 / 641  (époque byzantine)";"E 26303; AC 337; PH 853; G 140";"Département des Antiquités égyptiennes";;"non exposé";
cl010000264;orbiculus;;"395 / 641  (époque byzantine)";"E 26304; AC 338; PH 861; G 235";"Département des Antiquités égyptiennes";;"non exposé";
cl010000265;"bande de poignet";;"395 / 641  (époque byzantine)";"E 26305; AC 339; PH 866; G 141";"Département des Antiquités égyptiennes";;"non exposé";
cl010000266;"bande décorative d'habillement";;"395 / 641  (époque byzantine)";"E 26306; AC 340; PH 867; D 153";"Département des Antiquités égyptiennes";;"non exposé";
cl010000267;"bande décorative d'habillement";;"395 / 641  (époque byzantine)";"E 26307; AC 341; PH 876; G 143";"Département des Antiquités égyptiennes";;"non exposé";
cl010000268;"bande de poignet";;"395 / 641  (époque byzantine)";"E 26309; AC 343; PH 880; G 144";"Département des Antiquités égyptiennes";;"non exposé";
cl010000269;"bande d'encolure";;"395 / 641  (époque byzantine)";"E 26310; AC 344; PH 882; G 146";"Département des Antiquités égyptiennes";;"non exposé";
cl010000270;"décor de textile";;"395 / 641  (époque byzantine)";"E 26311; AC 345; PH 888; G 153";"Département des Antiquités égyptiennes";;"non exposé";
cl010000271;"décor de textile";;"395 / 641  (époque byzantine)";"E 26313; AC 347; PH 891; G 155";"Département des Antiquités égyptiennes";;"non exposé";
cl010000272;tenture;;"395 / 641  (époque byzantine)";"E 26460; AC 494; PH 1423; H 67";"Département des Antiquités égyptiennes";;"non exposé";
cl010000273;tenture;;"395 / 641  (époque byzantine)";"E 26462; AC 496; PH 1430; H 70";"Département des Antiquités égyptiennes";;"non exposé";
cl010000274;tenture;;"395 / 641  (époque byzantine)";"E 26463; AC 497; PH 1431; H 71";"Département des Antiquités égyptiennes";;"non exposé";
cl010000275;tabula;;"395 / 641  (époque byzantine)";"E 26465; AC 499; PH 1433; H 73";"Département des Antiquités égyptiennes";;"non exposé";
cl010000276;"plastron de tunique";;"395 / 641  (époque byzantine)";"E 26468; AC 502; PH 1437; H 77";"Département des Antiquités égyptiennes";;"non exposé";
cl010000277;"décor de textile";;"395 / 641  (époque byzantine)";"E 26469; AC 503; PH 1438; H 78";"Département des Antiquités égyptiennes";;"non exposé";
cl010000278;"décor de textile";;"395 / 641  (époque byzantine)";"E 26470; AC 504; PH 1439; H 79";"Département des Antiquités égyptiennes";;"non exposé";
cl010000279;tabula;;"395 / 641  (époque byzantine)";"E 26472; AC 506; PH 1442; H 196";"Département des Antiquités égyptiennes";;"non exposé";
cl010000280;tenture;;"395 / 641  (époque byzantine)";"E 26473; AC 507; PH 1447; H 82";"Département des Antiquités égyptiennes";;"non exposé";
cl010000281;"exercice de tissage";;"880 / 1020  (époque islamique)";"E 26474; AC 508; PH 1448; H 83";"Département des Antiquités égyptiennes";;"non exposé";
cl010000282;"bande décorative d'habillement";;"395 / 641  (époque byzantine)";"E 26475; AC 509; PH 1452; G 218";"Département des Antiquités égyptiennes";;"non exposé";
cl010000283;"exercice de tissage";;"880 / 1020  (époque islamique)";"E 26476; AC 510; PH 1459; H 84";"Département des Antiquités égyptiennes";;"non exposé";
cl010000284;"exercice de tissage";;"880 / 1020  (époque islamique)";"E 26477; AC 511; PH 1466; H 85";"Département des Antiquités égyptiennes";;"non exposé";
cl010000285;"exercice de tissage";;"880 / 1020  (époque islamique)";"E 26478; AC 512; PH 1468; H 86";"Département des Antiquités égyptiennes";;"non exposé";
cl010000286;"exercice de tissage";;"880 / 1020  (époque islamique)";"E 26479; AC 513; PH 1472; H 87";"Département des Antiquités égyptiennes";;"non exposé";
cl010000287;"exercice de tissage";;"880 / 1020  (époque islamique)";"E 26480; AC 514; PH 1473; H 88";"Département des Antiquités égyptiennes";;"non exposé";
cl010000288;"décor de textile";;"395 / 641  (époque byzantine)";"E 26481; AC 515; PH 1476; H 89";"Département des Antiquités égyptiennes";;"non exposé";
cl010000289;clavus;;"395 / 641  (époque byzantine)";"E 26482; AC 516; PH 1481; H 90";"Département des Antiquités égyptiennes";;"non exposé";
cl010000290;clavus;;"395 / 641  (époque byzantine)";"E 26486; AC 520; PH 1603; G 58";"Département des Antiquités égyptiennes";;"non exposé";
cl010000291;"décor de textile";;"395 / 641  (époque byzantine)";"E 26487; AC 521; PH 1610; H 93";"Département des Antiquités égyptiennes";;"non exposé";
cl010000292;tabula;;"395 / 641  (époque byzantine)";"E 26488; AC 522; PH 1616; H 117";"Département des Antiquités égyptiennes";;"non exposé";
cl010000293;"décor de textile";;"395 / 641  (époque byzantine)";"E 26493; AC 527; PH 1636; H 94";"Département des Antiquités égyptiennes";;"non exposé";
cl010000294;tabula;;"395 / 641  (époque byzantine)";"E 26494; AC 528; PH 1650; H 95";"Département des Antiquités égyptiennes";;"non exposé";
cl010000295;tabula;;"395 / 641  (époque byzantine)";"E 26497; AC 531; PH 1664; H 104";"Département des Antiquités égyptiennes";;"non exposé";
cl010000296;clavus;;"395 / 641  (époque byzantine)";"E 26499; AC 533; PH 1680; H 92";"Département des Antiquités égyptiennes";;"non exposé";
cl010000297;clavus;;"395 / 641  (époque byzantine)";"E 26500; AC 534; PH 1682; G 62";"Département des Antiquités égyptiennes";;"non exposé";
cl010000298;clavus;;"395 / 641  (époque byzantine)";"E 26501; AC 535; PH 1684; G 63";"Département des Antiquités égyptiennes";;"non exposé";
cl010000299;orbiculus;;"395 / 641  (époque byzantine)";"E 26503; AC 537; PH 2408; G 311";"Département des Antiquités égyptiennes";;"non exposé";
cl010000300;tissu;;"395 / 641  (époque byzantine)";"E 26110; AC 143; A 14; PH 7";"Département des Antiquités égyptiennes";;"non exposé";
cl010000301;"châle ; couverture";;"170 / 400  (époque byzantine)";"E 26124; AC 157; PH 114; B 5";"Département des Antiquités égyptiennes";;"non exposé";
cl010000302;"manche d'habit ; bande de poignet";;"395 / 641  (époque byzantine)";"E 26125; AC 158; PH 115; C 55";"Département des Antiquités égyptiennes";;"non exposé";
cl010000303;tabula;;"395 / 641  (époque byzantine)";"E 26128; AC 161; PH 120; I 18";"Département des Antiquités égyptiennes";;"non exposé";
cl010000304;"plastron de tunique";;"641 / 1171  (début époque islamique)";"E 26132; PH 127; D 96; AC 165; D 78.5.16";"Département des Antiquités égyptiennes";;"non exposé";
cl010000306;"bande de poignet";;"395 / 641  (époque byzantine)";"E 26135; AC 168; PH 132; D 3";"Département des Antiquités égyptiennes";;"non exposé";
cl010000307;"châle ; couverture";;"395 / 641  (époque byzantine)";"E 26137; AC 170; PH 137; D 93";"Département des Antiquités égyptiennes";;"non exposé";
cl010000308;clavus;;"395 / 641  (époque byzantine)";"E 26138; AC 171; PH 138; D 116";"Département des Antiquités égyptiennes";;"non exposé";
cl010000309;clavus;;"395 / 641  (époque byzantine)";"E 26139; AC 172; PH 139; D 117";"Département des Antiquités égyptiennes";;"non exposé";
cl010000310;"bande de poignet";;"395 / 641  (époque byzantine)";"E 26149; AC 182; PH 156; C 56";"Département des Antiquités égyptiennes";;"non exposé";
cl010000311;châle;;"395 / 641  (époque byzantine)";"E 26151; AC 184; PH 158; A 21; A 21 bis; PH 160";"Département des Antiquités égyptiennes";;"non exposé";
cl010000312;châle;;"210 / 390  (époque byzantine ; époque romaine)";"E 26152; AC 185; PH 159; A 22";"Département des Antiquités égyptiennes";;"non exposé";
cl010000313;clavus;;"395 / 641  (époque byzantine)";"E 26160; AC 193; PH 171; D 14";"Département des Antiquités égyptiennes";;"non exposé";
cl010000314;"bande de poignet";;"395 / 641  (époque byzantine)";"E 26161; AC 194; PH 177; D 23";"Département des Antiquités égyptiennes";;"non exposé";
cl010000315;"bande décorative d'habillement ; tabula";;"395 / 641  (époque byzantine)";"E 26162; AC 195; PH 178; E 64";"Département des Antiquités égyptiennes";;"non exposé";
cl010000316;"bande décorative d'habillement";;"395 / 641  (époque byzantine)";"E 26163; AC 196";"Département des Antiquités égyptiennes";;"non exposé";
cl010000317;"orbiculus ; bande décorative d'habillement";;"395 / 641  (époque byzantine)";"E 26189; AC 223; PH 352; G 255";"Département des Antiquités égyptiennes";;"non exposé";
cl010000318;"bande décorative d'habillement";;"395 / 641  (époque byzantine)";"E 26364; AC 398; PH 1171; G 209";"Département des Antiquités égyptiennes";;"non exposé";
cl010000319;clavus;;"395 / 641  (époque byzantine)";"E 26365; AC 399; PH 1173; G 238";"Département des Antiquités égyptiennes";;"non exposé";
cl010000320;orbiculus;;"395 / 641  (époque byzantine)";"E 26367; AC 401; PH 2397; G 309";"Département des Antiquités égyptiennes";;"non exposé";
cl010000321;châle;;"395 / 641  (époque byzantine)";"E 26368; AC 402; PH 1181; G 239";"Département des Antiquités égyptiennes";;"non exposé";
cl010000322;orbiculus;;"395 / 641  (époque byzantine)";"E 26369; AC 403; PH 2395; G 307";"Département des Antiquités égyptiennes";;"non exposé";
cl010000323;orbiculus;;"395 / 641  (époque byzantine)";"E 26372; AC 406; PH 2394; G 306";"Département des Antiquités égyptiennes";;"non exposé";
cl010000324;orbiculus;;"395 / 641  (époque byzantine)";"E 26373; AC 407; PH 2400; F 98";"Département des Antiquités égyptiennes";;"non exposé";
cl010000325;"bande d'encolure";;"395 / 641  (époque byzantine)";"E 26374; AC 408; PH 1202; G 241";"Département des Antiquités égyptiennes";;"non exposé";
cl010000326;clavus;;"395 / 641  (époque byzantine)";"E 26375; AC 409; PH 1203; G 242";"Département des Antiquités égyptiennes";;"non exposé";
cl010000327;clavus;;"395 / 641  (époque byzantine)";"E 26377; AC 411; PH 1215; G 244";"Département des Antiquités égyptiennes";;"non exposé";
cl010000328;tabula;;"395 / 641  (époque byzantine)";"E 26378; AC 412; PH 1214; G 243";"Département des Antiquités égyptiennes";;"non exposé";
cl010000329;"bande de poignet";;"395 / 641  (époque byzantine)";"E 26379; AC 413; PH 1219; G 245";"Département des Antiquités égyptiennes";;"non exposé";
cl010000330;"décor de textile";;"395 / 641  (époque byzantine)";"E 26380; AC 414; PH 1224; G 246";"Département des Antiquités égyptiennes";;"non exposé";
cl010000331;clavus;;"395 / 641  (époque byzantine)";"E 26381; AC 415; PH 2421; F 101";"Département des Antiquités égyptiennes";;"non exposé";
cl010000332;orbiculus;;"395 / 641  (époque byzantine)";"E 26382; AC 416; PH 2396; G 308";"Département des Antiquités égyptiennes";;"non exposé";
cl010000333;"tunique ; bande de poignet ; orbiculus";;"395 / 641  (époque byzantine)";"E 26383; AC 417; PH 1228; G 247";"Département des Antiquités égyptiennes";;"non exposé";
cl010000334;orbiculus;;"395 / 641  (époque byzantine)";"E 26384; AC 418; PH 1230; G 418";"Département des Antiquités égyptiennes";;"non exposé";
cl010000335;"plastron de tunique";;"395 / 641  (époque byzantine)";"E 26385; AC 419; PH 1231; G 419";"Département des Antiquités égyptiennes";;"non exposé";
cl010000336;"tabula ; bande décorative d'habillement";;"395 / 641  (époque byzantine)";"E 26386; AC 420; PH 1241; G 284";"Département des Antiquités égyptiennes";;"non exposé";
cl010000337;"capuche ; fragment";;"époque byzantine";"E 26387; AC 421; PH 1244; E 34";"Département des Antiquités égyptiennes";;"non exposé";
cl010000338;orbiculus;;"395 / 641  (époque byzantine)";"E 26388; AC 422; PH 2389; G 292";"Département des Antiquités égyptiennes";;"non exposé";
cl010000339;orbiculus;;"395 / 641  (époque byzantine)";"E 26389; AC 423; PH 1247; G 225";"Département des Antiquités égyptiennes";;"non exposé";
cl010000340;tabula;;"395 / 641  (époque byzantine)";"E 26417; AC 451; PH 1364; H 19";"Département des Antiquités égyptiennes";;"non exposé";
cl010000341;orbiculus;;"395 / 641  (époque byzantine)";"E 26418; AC 452; PH 1365; H 20";"Département des Antiquités égyptiennes";;"non exposé";
cl010000342;clavus;;"395 / 641  (époque byzantine)";"E 26419; AC 453; PH 1366; H 21";"Département des Antiquités égyptiennes";;"non exposé";
cl010000343;"plastron de tunique";;"395 / 641  (époque byzantine)";"E 26420; AC 454; PH 1367; H 22";"Département des Antiquités égyptiennes";;"non exposé";
cl010000344;"plastron de tunique";;"395 / 641  (époque byzantine)";"E 26421; AC 455; PH 1368; H 23";"Département des Antiquités égyptiennes";;"non exposé";
cl010000345;"plastron de tunique";;"395 / 641  (époque byzantine)";"E 26422; AC 456; PH 1369; H 24";"Département des Antiquités égyptiennes";;"non exposé";
cl010000346;tabula;;"395 / 641  (époque byzantine)";"E 26423; AC 457; PH 1370; H 25";"Département des Antiquités égyptiennes";;"non exposé";
cl010000347;tabula;;"395 / 641  (époque byzantine)";"E 26424; AC 458; PH 1371; H 26";"Département des Antiquités égyptiennes";;"non exposé";
cl010000348;"décor de textile";;"395 / 641  (époque byzantine)";"E 26425; AC 459; PH 1372; H 27";"Département des Antiquités égyptiennes";;"non exposé";
cl010000349;orbiculus;;"395 / 641  (époque byzantine)";"E 26426; AC 460; PH 1373; H 28";"Département des Antiquités égyptiennes";;"non exposé";
cl010000350;orbiculus;;"395 / 641  (époque byzantine)";"E 26427; AC 461; PH 1374; H 29";"Département des Antiquités égyptiennes";;"non exposé";
cl010000351;clavus;;"395 / 641  (époque byzantine)";"E 26428; AC 462; PH 1375; H 30";"Département des Antiquités égyptiennes";;"non exposé";
cl010000352;orbiculus;;"395 / 641  (époque byzantine)";"E 26429; AC 463; PH 1376; H 31";"Département des Antiquités égyptiennes";;"non exposé";
cl010000353;"bande de poignet";;"395 / 641  (époque byzantine)";"E 26430; AC 464; PH 1377; H 32";"Département des Antiquités égyptiennes";;"non exposé";
cl010000354;"bande de poignet";;"395 / 641  (époque byzantine)";"E 26431; AC 465; PH 1379; H 33";"Département des Antiquités égyptiennes";;"non exposé";
cl010000355;clavus;;"395 / 641  (époque byzantine)";"E 26432; AC 466; PH 1380; H 34";"Département des Antiquités égyptiennes";;"non exposé";
cl010000356;clavus;;"395 / 641  (époque byzantine)";"E 26433; AC 467; PH 1381; H 35";"Département des Antiquités égyptiennes";;"non exposé";
cl010000357;"décor de textile";;"395 / 641  (époque byzantine)";"E 26434; AC 468; PH 1382; H 36";"Département des Antiquités égyptiennes";;"non exposé";
cl010000358;"plastron de tunique";;"395 / 641  (époque byzantine)";"E 26435; AC 469; PH 1383; H 37";"Département des Antiquités égyptiennes";;"non exposé";
cl010000359;"bande décorative d'habillement";;"395 / 641  (époque byzantine)";"E 26437; AC 471; PH 1385; H 40";"Département des Antiquités égyptiennes";;"non exposé";
cl010000360;"bande de poignet";;"395 / 641  (époque byzantine)";"E 26438; AC 472; PH 1386; H 41";"Département des Antiquités égyptiennes";;"non exposé";
cl010000361;"bande de poignet";;"395 / 641  (époque byzantine)";"E 26439; AC 473; PH 1388; H 42";"Département des Antiquités égyptiennes";;"non exposé";
cl010000362;"décor de textile";;"395 / 641  (époque byzantine)";"E 26120";"Département des Antiquités égyptiennes";;"non exposé";
cl010000363;clavus;;"395 / 641  (époque byzantine)";"E 26441; H 44; AC 475; PH 1390";"Département des Antiquités égyptiennes";;"non exposé";
cl010000364;"bande de poignet";;"641 / 1171  (début époque islamique)";"E 26442; AC 476; PH 1393; H 45";"Département des Antiquités égyptiennes";;"non exposé";
cl010000365;orbiculus;;"641 / 1171  (début époque islamique)";"E 26444; AC 478; PH 1396; H 47";"Département des Antiquités égyptiennes";;"non exposé";
cl010000366;tenture;;"395 / 641  (époque byzantine)";"E 26445; AC 479; PH 1397; H 49";"Département des Antiquités égyptiennes";;"non exposé";
cl010000367;"décor de textile";;"395 / 641  (époque byzantine)";"E 26446; AC 480; PH 1399; H 50";"Département des Antiquités égyptiennes";;"non exposé";
cl010000368;"plastron de tunique";;"395 / 641  (époque byzantine)";"E 26447; AC 481; PH 1403; H 51";"Département des Antiquités égyptiennes";;"non exposé";
cl010000369;tabula;;"395 / 641  (époque byzantine)";"E 26448; AC 482; PH 1404; H 52";"Département des Antiquités égyptiennes";;"non exposé";
cl010000370;tenture;;"395 / 641  (époque byzantine)";"E 26449; AC 483; PH 1405; H 53";"Département des Antiquités égyptiennes";;"non exposé";
cl010000371;tenture;;"395 / 641  (époque byzantine)";"E 26450; AC 484; PH 1406; H 54";"Département des Antiquités égyptiennes";;"non exposé";
cl010000372;tabula;;"395 / 641  (époque byzantine)";"E 26451; AC 485; PH 1409; H 55";"Département des Antiquités égyptiennes";;"non exposé";
cl010000373;"décor de textile";;"395 / 641  (époque byzantine)";"E 26452; AC 486; PH 1410; H 57";"Département des Antiquités égyptiennes";;"non exposé";
cl010000374;"plastron de tunique";;"395 / 641  (époque byzantine)";"E 26453; AC 487; PH 1414; H 58";"Département des Antiquités égyptiennes";;"non exposé";
cl010000375;"bande de poignet";;"395 / 641  (époque byzantine)";"E 26454; AC 488; PH 1415; H 59";"Département des Antiquités égyptiennes";;"non exposé";
cl010000376;"décor de textile";;"395 / 641  (époque byzantine)";"E 26455; AC 489; PH 1416; H 60";"Département des Antiquités égyptiennes";;"non exposé";
cl010000377;tabula;;"395 / 641  (époque byzantine)";"E 26520; AC 554; PH 1729; H 120";"Département des Antiquités égyptiennes";;"non exposé";
cl010000378;tabula;;"395 / 641  (époque byzantine)";"E 26522; AC 556; PH 1733; H 121";"Département des Antiquités égyptiennes";;"non exposé";
cl010000379;tabula;;"395 / 641  (époque byzantine)";"E 26523; AC 557; PH 1735; H 147";"Département des Antiquités égyptiennes";;"non exposé";
cl010000380;châle;;"395 / 641  (époque byzantine)";"E 26526 A; AC 560; PH 1804; I 10";"Département des Antiquités égyptiennes";;"non exposé";
cl010000381;"tunique ; plastron de tunique ; clavus ; tabula";;"395 / 641  (époque byzantine)";"E 26530; AC 564; PH 1808; H 108";"Département des Antiquités égyptiennes";;"non exposé";
cl010000382;"bande de poignet";;"641 / 1171  (début époque islamique)";"E 26531; AC 565; PH 1851; H 122";"Département des Antiquités égyptiennes";;"non exposé";
cl010000383;clavus;;"641 / 1171  (début époque islamique)";"E 26533; AC 567; PH 1853; H 124";"Département des Antiquités égyptiennes";;"non exposé";
cl010000384;orbiculus;;"395 / 641  (époque byzantine)";"E 26534; AC 568; PH 2405; G 302";"Département des Antiquités égyptiennes";;"non exposé";
cl010000385;"bande décorative d'habillement";;"395 / 641  (époque byzantine)";"E 26538; AC 572; PH 1859; H 129";"Département des Antiquités égyptiennes";;"non exposé";
cl010000386;"bande décorative d'habillement ; tabula";;"395 / 641  (époque byzantine)";"E 26539; AC 573; PH 1860; H 130";"Département des Antiquités égyptiennes";;"non exposé";
cl010000387;tabula;;"395 / 641  (époque byzantine)";"E 26541; AC 575; PH 1865; H 132";"Département des Antiquités égyptiennes";;"non exposé";
cl010000388;"bande de poignet";;"395 / 641  (époque byzantine)";"E 26542; AC 576; PH 1866; H 38";"Département des Antiquités égyptiennes";;"non exposé";
cl010000389;clavus;;"395 / 641  (époque byzantine)";"E 26544; AC 578; PH 1869; H 134";"Département des Antiquités égyptiennes";;"non exposé";
cl010000390;"clavus ; tabula";;"395 / 641  (époque byzantine)";"E 26545; AC 579; PH 1871; H 135";"Département des Antiquités égyptiennes";;"non exposé";
cl010000391;"plastron de tunique ; clavus ; tabula";;"641 / 1171  (début époque islamique)";"E 26546; AC 580; PH 1872; H 136";"Département des Antiquités égyptiennes";;"non exposé";
cl010000392;clavus;;"395 / 641  (époque byzantine)";"E 26548; AC 582; PH 1876; H 139";"Département des Antiquités égyptiennes";;"non exposé";
cl010000393;"tunique ; tabula";;"395 / 641  (époque byzantine)";"E 26549; AC 583; PH 1877; H 140";"Département des Antiquités égyptiennes";;"non exposé";
cl010000394;tabula;;"395 / 641  (époque byzantine)";"E 26550; AC 584; PH 1882; I 15";"Département des Antiquités égyptiennes";;"non exposé";
cl010000395;tabula;;"395 / 641  (époque byzantine)";"E 26551; AC 585; PH 1883; H 141";"Département des Antiquités égyptiennes";;"non exposé";
cl010000396;tabula;;"395 / 641  (époque byzantine)";"E 26552; AC 586; PH 2402; F 97";"Département des Antiquités égyptiennes";;"non exposé";
cl010000397;tabula;;"395 / 641  (époque byzantine)";"E 26553; AC 587; PH 1886; H 142";"Département des Antiquités égyptiennes";;"non exposé";
cl010000398;tabula;;"395 / 641  (époque byzantine)";"E 26554; AC 588; PH 1888; H 143";"Département des Antiquités égyptiennes";;"non exposé";
cl010000399;tabula;;"395 / 641  (époque byzantine)";"E 26555; AC 589; PH 1889; H 144";"Département des Antiquités égyptiennes";;"non exposé";
cl010000400;tabula;;"395 / 641  (époque byzantine)";"E 26556; AC 590; PH 1891; H 146";"Département des Antiquités égyptiennes";;"non exposé";
cl010000401;tabula;;"395 / 641  (époque byzantine)";"E 26557; AC 591; PH 1893; H 148";"Département des Antiquités égyptiennes";;"non exposé";
cl010000402;tabula;;"395 / 641  (époque byzantine)";"E 26558; AC 592; PH 1894; H 149";"Département des Antiquités égyptiennes";;"non exposé";
cl010000403;"tunique ; encolure ; clavus";;"395 / 641  (époque byzantine)";"E 26619; AC 653; PH 2056; PH 2004";"Département des Antiquités égyptiennes";;"non exposé";
cl010000404;clavus;;"395 / 641  (époque byzantine)";"E 26622; AC 656; PH 2419; G 32";"Département des Antiquités égyptiennes";;"non exposé";
cl010000405;clavus;;"641 / 1171  (début époque islamique)";"E 26623; AC 657; PH 2103; I 23";"Département des Antiquités égyptiennes";;"non exposé";
